 (Half Day),(Meio Dia)
Check how the newsletter looks in an email by sending it to your email.,Verifique como a newsletter é exibido em um e-mail enviando-o para o seu e-mail.
"Check if recurring invoice, uncheck to stop recurring or put proper End Date","Marque se é uma fatura recorrente, desmarque para parar a recorrência ou colocar uma Data Final adequada"
"Check if you need automatic recurring invoices. After submitting any sales invoice, Recurring section will be visible.","Marque se você precisa de notas fiscais recorrentes automáticas. Depois de enviar qualquer fatura de venda, a seção Recorrente será visível."
Check if you want to send salary slip in mail to each employee while submitting salary slip,Marque se você quiser enviar a folha de pagamento pelo correio a cada colaborador ao enviar a folha de pagamento
Check this if you want to force the user to select a series before saving. There will be no default if you check this.,Marque esta opção se você deseja forçar o usuário a selecionar uma série antes de salvar. Não haverá nenhum padrão se você marcar isso.
Check this if you want to show in website,Marque esta opção se você deseja mostrar no site
Check this to disallow fractions. (for Nos),Marque esta opção para não permitir frações. (Para n)
Check this to pull emails from your mailbox,Marque para descarregar os e-mails de sua caixa de correio
Check to activate,Marque para ativar
Check to make Shipping Address,Marque para criar Endereço de Envio
Check to make primary address,Marque para criar Endereço Principal
Chemical,Química
Cheque,Cheque
Cheque Date,Data do Cheque
Cheque Number,Nº do Cheque
Child account exists for this account. You can not delete this account.,Conta Filha existe para esta conta. Você não pode excluir esta conta.
City,Cidade
City Tax Number,Inscrição Municipal
City/Town,Cidade/Município
Claim Amount,Valor Requerido
Claims for company expense.,Os pedidos de despesa da empresa.
Class / Percentage,Classe / Percentual
Classic,Clássico
Clear Table,Limpar Tabela
Clearance Date,Data de Liberação
Clearance Date not mentioned,Apuramento data não mencionada
Clearance date cannot be before check date in row {0},Apuramento data não pode ser anterior à data de verificação na linha {0}
Click on 'Make Sales Invoice' button to create a new Sales Invoice.,Clique no botão 'Criar Fatura de Vendas' para criar uma nova fatura de venda.
Click on a link to get options to expand get options ,Clique em um link para abrir as opções 
Client,Cliente
Close Balance Sheet and book Profit or Loss.,Fechar Balanço e contabilizar Lucro ou Perda.
Closed,Fechado
Closing Account Head,Conta de Fechamento
Closing Account {0} must be of type 'Liability',Fechando Conta {0} deve ser do tipo ' responsabilidade '
Closing Date,Data de Encerramento
Closing Fiscal Year,Encerramento do exercício fiscal
Closing Qty,fechando Qtde
Closing Value,fechando Valor
CoA Help,Ajuda CoA
Code,Código
Cold Calling,Cold Calling
Color,Cor
Comma separated list of email addresses,Lista separada por vírgulas de endereços de e-mail
Comments,Comentários
Commercial,Comercial
Commission,comissão
Commission Rate,Taxa de Comissão
Commission Rate (%),Taxa de Comissão (%)
Commission on Sales,Comissão sobre Vendas
Commission rate cannot be greater than 100,Taxa de comissão não pode ser maior do que 100
Communication,Comunicação
Communication HTML,Comunicação HTML
Communication History,Histórico de Comunicações
Communication log.,Registro de Comunicações.
Communications,Comunicações
Company,Empresa
Company (not Customer or Supplier) master.,Cadastro de Empresas (não Cliente ou Fornecedor).
Company Abbreviation,Sigla da Empresa
Company Details,Detalhes da Empresa
Company Email,E-Mail da Empresa
"Company Email ID not found, hence mail not sent","ID de E-Mail da Empresa não encontrado, portanto a mensagem não foi enviada"
Company Info,Informações da Empresa
Company Name,Nome da Empresa
Company Settings,Configurações da Empresa
Company is missing in warehouses {0},Empresa está em falta nos almoxarifados {0}
Company is required,Empresa é obrigatória
Company registration numbers for your reference. Example: VAT Registration Numbers etc.,"Números de registro da empresa para sua referência. Exemplo: CNPJ, IE, etc"
Company registration numbers for your reference. Tax numbers etc.,"Números da empresa de registro para sua referência. Números fiscais, etc"
"Company, Month and Fiscal Year is mandatory","Empresa , Mês e Ano Fiscal é obrigatória"
Compensatory Off,Ausência Compensatória
Complete,Completar
Complete Setup,Instalação Concluída
Completed,Concluído
Completed Production Orders,Ordens de Produção Concluídas
Completed Qty,Qtde Concluída
Completion Date,Data de Conclusão
Completion Status,Estado de Conclusão
Computer,Computador
Computers,Computadores
Confirmation Date,Data de Confirmação
Confirmed orders from Customers.,Pedidos confirmados de clientes.
Consider Tax or Charge for,Considerar Imposto ou Encargo para
Considered as Opening Balance,Considerado como Saldo
Considered as an Opening Balance,Considerado como um Saldo de Abertura
Consultant,Consultor
Consulting,Consultoria
Consumable,Consumíveis
Consumable Cost,Custo dos Consumíveis
Consumable cost per hour,Custo de consumíveis por hora
Consumed Qty,Qtde Consumida
Consumer Products,Produtos para o Consumidor
Contact,Contato
Contact Control,Controle de Contato
Contact Desc,Descrição do Contato
Contact Details,Detalhes do Contato
Contact Email,E-mail do Contato
Contact HTML,Contato HTML
Contact Info,Informações para Contato
Contact Mobile No,Celular do Contato
Contact Name,Nome do Contato
Contact No.,Nº Contato.
Contact Person,Pessoa de Contato
Contact Type,Tipo de Contato
Contact master.,Contato mestre.
Contacts,Contatos
Content,Conteúdo
Content Type,Tipo de Conteúdo
Contra Voucher,Comprovante de Caixa
Contract,Contrato
Contract End Date,Data Final do Contrato
Contract End Date must be greater than Date of Joining,Data Contrato Final deve ser maior que Data de Participar
Contribution (%),Contribuição (%)
Contribution to Net Total,Contribuição para o Total Líquido
Conversion Factor,Fator de Conversão
Conversion Factor is required,Fator de Conversão é necessária
Conversion factor cannot be in fractions,Fator de conversão não pode estar em frações
Conversion factor for default Unit of Measure must be 1 in row {0},Fator de conversão de unidade de medida padrão deve ser 1 na linha {0}
Conversion rate cannot be 0 or 1,A taxa de conversão não pode ser 0 ou 1
Convert into Recurring Invoice,Converter em Fatura Recorrente
Convert to Group,Converter em Grupo
Convert to Ledger,Converter para Livro Contábil
Converted,Convertido(a)
Copy From Item Group,Copiar do item do grupo
Cosmetics,Cosméticos
Cost Center,Centro de Custos
Cost Center Details,Detalhes do Centro de Custo
Cost Center Name,Nome do Centro de Custo
Cost Center is mandatory for Item {0},Centro de Custo é obrigatória para item {0}
Cost Center is required for 'Profit and Loss' account {0},Centro de Custo é necessário para a conta 'Lucros e Perdas' {0}
Cost Center is required in row {0} in Taxes table for type {1},Centro de Custo é necessário na linha {0} na Tabela de Impostos para o tipo {1}
Cost Center with existing transactions can not be converted to group,Centros de Custo com as operações existentes não podem ser convertidos em grupo
Cost Center with existing transactions can not be converted to ledger,Centros de Custo com as operações existentes não podem ser convertidos em livro contábil
Cost Center {0} does not belong to Company {1},Centro de Custo {0} não pertence a Empresa {1}
Cost Centers,Centros de Custo
Cost of Goods Sold,Custo dos Produtos Vendidos
Costing,Custeio
Country,País
Country Name,Nome do País
Country wise default Address Templates,Modelos de Endereço por País
"Country, Timezone and Currency","País, Fuso Horário e Moeda"
Create Bank Voucher for the total salary paid for the above selected criteria,Criar Comprovante Bancário para o salário total pago para os critérios acima selecionados
Create Customer,Criar Cliente
Create Material Requests,Criar Pedidos de Materiais
Create New,Criar Novo
Create Opportunity,Criar Oportunidade
Create Production Orders,Criar Ordens de Produção
Create Quotation,Criar Cotação
Create Receiver List,Criar Lista de Receptor
Create Salary Slip,Criar Folha de Pagamento
Create Stock Ledger Entries when you submit a Sales Invoice,Criar Lançamentos Contábeis de Estoque quando você enviar uma fatura de Vendas
"Create and manage daily, weekly and monthly email digests.","Criar e gerenciar resumos por e-mail diários, semanais e mensais."
Create rules to restrict transactions based on values.,Criar regras para restringir operações com base em valores.
Created By,Criado Por
Creates salary slip for above mentioned criteria.,Cria folha de pagamento para os critérios acima mencionados.
Creation Date,Data de Criação
Creation Document No,Nº do Documento de Criação
Creation Document Type,Tipo de Documento de Criação
Creation Time,Hora de Criação
Credentials,Credenciais
Credit,Crédito
Credit Amt,Montante de Crédito
Credit Card,Cartão de Crédito
Credit Card Voucher,Comprovante do Cartão de Crédito
Credit Controller,Controlador de Crédito
Credit Days,Dias de Crédito
Credit Limit,Limite de Crédito
Credit Note,Nota de Crédito
Credit To,Crédito Para
Currency,Moeda
Currency Exchange,Câmbio
Currency Name,Nome da Moeda
Currency Settings,Configurações Moeda
Currency and Price List,Moeda e Preço
Currency exchange rate master.,Cadastro de taxas de câmbio.
Current Address,Endereço Atual
Current Address Is,Endereço atual é
Current Assets,Ativo Circulante
Current BOM,LDM Atual
Current BOM and New BOM can not be same,Atual BOM e Nova BOM não pode ser o mesmo
Current Fiscal Year,Ano Fiscal Atual
Current Liabilities,Passivo Circulante
Current Stock,Estoque Atual
Current Stock UOM,UDM de Estoque Atual
Current Value,Valor Atual
Custom,Personalizado
Custom Autoreply Message,Mensagem de Resposta Automática Personalizada
Custom Message,Mensagem Personalizada
Customer,Cliente
Customer (Receivable) Account,Conta de Cliente (Receber)
Customer / Item Name,Cliente / Nome do Item
Customer / Lead Address,Cliente / Endereço do Prospecto
Customer / Lead Name,Cliente / Nome do Prospecto
Customer > Customer Group > Territory,Cliente > Grupo de Clientes > Território
Customer Account Head,Conta Principal do Cliente
Customer Acquisition and Loyalty,Aquisição de Clientes e Fidelização
Customer Address,Endereço do Cliente
Customer Addresses And Contacts,Endereços do Cliente e Contatos
Customer Code,Código do Cliente
Customer Codes,Códigos de Clientes
Customer Details,Detalhes do Cliente
Customer Feedback,Comentário do Cliente
Customer Group,Grupo de Clientes
Customer Group / Customer,Grupo de Cliente/Cliente
Customer Group Name,Nome do Grupo de Clientes
Customer Intro,Introdução do Cliente
Customer Issue,Problema do Cliente
Customer Issue against Serial No.,Problema do Cliente contra Nº de Série
Customer Name,Nome do Cliente
Customer Naming By,Nomear Cliente Por
Customer Service,Serviço do Cliente
Customer database.,Banco de dados de clientes.
Customer is required,É necessário o cliente
Customer master.,Cadastro de clientes.
Customer required for 'Customerwise Discount',Necessário para ' Customerwise Discount ' Cliente
Customer {0} does not belong to project {1},Cliente {0} não pertence ao projeto {1}
Customer {0} does not exist,Cliente {0} não existe
Customer's Item Code,Código do Item do Cliente
Customer's Purchase Order Date,Data da Ordem de Compra Do Cliente
